/home/luis/PycharmProjects/chameleon_cluster/venv/bin/python /home/luis/PycharmProjects/chameleon_cluster/main.py
Building kNN graph (k = 6)...
100%|██████████| 32/32 [00:00<00:00, 1877.38it/s]
Begin clustering...
%fs 6.387200206518174e-05
%fs 5.382400006055832e-05
%fs 5.2960000932216646e-05
%fs 2.687999978661537e-06
%fs 2.3040000814944505e-06
%fs 5.820799991488457e-05
%fs 2.623999956995249e-06
%fs 4.160000011324883e-06
%fs 5.4944001138210295e-05
%fs 6.006399914622307e-05
%fs 5.6607998907566074e-05
%fs 2.687999978661537e-06
%fs 2.495999913662672e-06
%fs 6.15679994225502e-05
%fs 2.9440000653266907e-06
%fs 2.463999902829528e-06
%fs 5.5615998804569246e-05
%fs 5.603199824690819e-05
%fs 5.484800040721894e-05
%fs 2.78400001116097e-06
%fs 2.3040000814944505e-06
%fs 5.8527998626232146e-05
%fs 2.7520000003278255e-06
%fs 2.2720000706613066e-06
%fs 5.379199981689453e-05
%fs 6.134400144219398e-05
%fs 5.772799998521805e-05
%fs 5.619199946522713e-05
%fs 2.368000103160739e-06
%fs 2.7520000003278255e-06
%fs 5.801599845290184e-05
%fs 2.9120000544935464e-06
%fs 2.3360000923275947e-06
%fs 6.249599903821945e-05
%fs 5.849599838256836e-05
%fs 5.539200082421303e-05
%fs 2.2720000706613066e-06
%fs 2.463999902829528e-06
%fs 5.9200000017881396e-05
%fs 2.527999924495816e-06
%fs 2.5919999461621047e-06
%fs 5.532800033688546e-05
%fs 5.318399891257286e-05
%fs 5.1584001630544664e-05
%fs 2.176000038161874e-06
%fs 2.368000103160739e-06
%fs 5.436800047755242e-05
%fs 2.816000021994114e-06
%fs 2.3040000814944505e-06
%fs 5.321599915623665e-05
%fs 5.5456001311540604e-05
%fs 5.1584001630544664e-05
%fs 2.431999891996384e-06
%fs 2.431999891996384e-06
%fs 5.507199838757515e-05
%fs 2.623999956995249e-06
%fs 2.431999891996384e-06
%fs 5.4880000650882725e-05
%fs 5.3952001035213474e-05
%fs 5.356800183653831e-05
%fs 2.2720000706613066e-06
%fs 2.7520000003278255e-06
%fs 5.980800092220306e-05
